[1/6/2023 7:01:24 AM] [INFO] received Windows console close event; shutting log-core down
[1/6/2023 8:40:20 AM] [INFO] received Windows console close event; shutting log-core down
[1/6/2023 9:59:35 AM] [INFO] received Windows console close event; shutting log-core down
[1/6/2023 10:03:22 AM] [INFO] received Windows console close event; shutting log-core down
[1/7/2023 8:53:48 AM] [INFO] received Windows console close event; shutting log-core down
[1/7/2023 9:01:00 AM] [INFO] received Windows console close event; shutting log-core down
[1/7/2023 9:04:43 AM] [INFO] received Windows console close event; shutting log-core down
[1/7/2023 9:06:18 AM] [INFO] received Windows console close event; shutting log-core down
[1/7/2023 10:16:17 AM] [INFO] received Windows console close event; shutting log-core down
[1/8/2023 12:27:49 AM] [INFO] received Windows console close event; shutting log-core down
[1/8/2023 12:27:54 AM] [INFO] received Windows console close event; shutting log-core down
[1/8/2023 12:53:36 AM] [INFO] received Windows console close event; shutting log-core down
[1/8/2023 3:58:29 AM] [INFO] received Windows console close event; shutting log-core down
[1/8/2023 4:02:43 AM] [INFO] received Windows console close event; shutting log-core down
[1/8/2023 4:02:55 AM] [INFO] received Windows console close event; shutting log-core down
[1/8/2023 10:28:09 AM] [INFO] received Windows console close event; shutting log-core down
[1/8/2023 10:58:08 AM] [INFO] received Windows console close event; shutting log-core down
[1/8/2023 11:30:42 PM] [INFO] received Windows console close event; shutting log-core down
[1/8/2023 11:48:29 PM] [INFO] received Windows console close event; shutting log-core down
[1/8/2023 11:48:39 PM] [INFO] received Windows console close event; shutting log-core down
[1/9/2023 12:51:20 AM] [INFO] received Windows console close event; shutting log-core down
[1/9/2023 12:52:37 AM] [INFO] received Windows console close event; shutting log-core down
[1/9/2023 8:57:04 AM] [INFO] received Windows console close event; shutting log-core down
[1/10/2023 1:53:01 AM] [INFO] received Windows console close event; shutting log-core down
[1/11/2023 11:14:45 AM] [INFO] received Windows console close event; shutting log-core down
[1/11/2023 11:43:22 PM] [INFO] received Windows console close event; shutting log-core down
[1/12/2023 1:23:27 AM] [INFO] received Windows console close event; shutting log-core down
